Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
Dell Inc.$Dell Inc. PowerEdge R6525  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$471724$175775$Round Rock, TX$Thu Jun 16 10:39:15 EDT 2022$AMD EPYC 7773x$1$2$128$256$2200$32KB(I)+32KB(D) per core$512KB (I+D) per core$768MB (I+D) on chip per chip$1 x Dell Express Flash NVMe SM1715 1.6TB AIC$128GB 4Rx4 PC4-3200AA-L; slots A1-8 and B1-8 populated(GB)
Dell Inc.$Dell Inc. PowerEdge MX750c  HTML$Oracle Java SE 17.0.3$Java HotSpot 64-bit Server VM, version 17.0.3$258856$200228$Round Rock, TX$Fri Jul 29 10:57:54 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32 KB(I)+48 KB(D) per core$1280 KB (I+D) per core$60 MB (I+D) on chip per chip$1 x Pcie BOSS Card ,1 x M.2 SSD 128GB$64 GB RDIMM 2Rx4 PC4-3200AA-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R750  HTML$Oracle Java SE 17.0.3$Java HotSpot 64-bit Server VM, version 17.0.3$247011$203959$Round Rock, TX$Fri Jul 29 10:57:54 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32 KB(I)+48 KB(D) per core$1280 KB (I+D) per core$60 MB (I+D) on chip per chip$"1 x 600 GB SAS 2.5\" 15K"$64 GB RDIMM 2Rx4 PC4-3200AA-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R7625  HTML$Oracle Java SE 18.0.2.1$Java HotSpot 64-bit Server VM, version 18.0.2.1$403442$189918$Round Rock, TX$Thu Nov 10 10:32:32 EST 2022$AMD EPYC 9654$1$1$96$192$2400$32 KB(I)+32 KB(D) per core$1 MB (I+D) per core$384 MB (I+D) on chip per chip$1 x SAS SSD 600GB$64 GB 2Rx4 PC5-38400R (slots A1-12 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R7625  HTML$Oracle Java SE 18.0.2.1$Java HotSpot 64-bit Server VM, version 18.0.2.1$327929$311408$Round Rock, TX$Thu Nov 10 10:32:32 EST 2022$AMD EPYC 9654$1$1$96$192$2400$32 KB(I)+32 KB(D) per core$1 MB (I+D) per core$384 MB (I+D) on chip per chip$1 x SAS SSD 600GB$64 GB 2Rx4 PC5-38400R (slots A1-12 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R7625  HTML$Oracle Java SE 18.0.2.1$Java HotSpot 64-bit Server VM, version 18.0.2.1$630305$599311$Round Rock, TX$Thu Nov 10 10:32:32 EST 2022$AMD EPYC 9654$1$2$192$384$2400$32 KB(I)+32 KB(D) per core$1 MB (I+D) per core$384 MB (I+D) on chip per chip$1 x SAS SSD 600GB$64 GB 2Rx4 PC5-38400R (slots A1-12, B1-12 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R7625  HTML$Oracle Java SE 18.0.2.1$Java HotSpot 64-bit Server VM, version 18.0.2.1$794337$356591$Round Rock, TX$Thu Nov 10 10:32:32 EST 2022$AMD EPYC 9654$1$2$192$384$2400$32 KB(I)+32 KB(D) per core$1 MB (I+D) per core$384 MB (I+D) on chip per chip$1 x SAS SSD 600GB$64 GB 2Rx4 PC5-38400R (slots A1-12, B1-12 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R7625  HTML$Oracle Java SE 18.0.2.1$Java HotSpot 64-bit Server VM, version 18.0.2.1$638822$602838$Round Rock, TX$Thu Dec  1 14:55:13 EST 2022$AMD EPYC 9654$1$2$192$384$2400$32 KB(I)+32 KB(D) per core$1 MB (I+D) per core$384 MB (I+D) on chip per chip$1 x SAS SSD 600GB$64 GB 2Rx4 PC5-38400R (slots A1-12, B1-12 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R760  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$407068$210730$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x 2.5 NVM Express 960GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R760  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$355543$295775$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x 2.5 NVM Express 960GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
