Test Sponsor$System Name$Parallel$Base  Threads$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2136)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$32.4$32.8$--$--$Jun-2019$Intel Xeon Gold 6248$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$27.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2174G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$4$1$2$28.0$28.3$--$--$Jul-2019$Intel Xeon Silver 4215$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Silver 4116)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$86.6$87.1$--$--$Sep-2019$Intel Xeon Gold 6240M$2600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2124)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$26.3$26.6$--$--$Jun-2019$Intel Xeon Gold 6226$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$19.25 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2124G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$26.7$27.1$--$--$Feb-2020$Intel Xeon Gold 6258R$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz, Intel Xeon E-2104G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$23.9$24.2$--$--$Apr-2019$Intel Xeon Platinum 8280L$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 240 GB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$56$56$2$1$164$165$--$--$Apr-2019$Intel Xeon Platinum 8280L$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 240 GB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$56$56$2$1$163$164$--$--$Jun-2020$Intel Xeon Gold 6226R$2900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$6$6$1$1$31.6$32.0$--$--$Jul-2019$Intel Xeon Gold 5217$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$32.1$32.4$--$--$Jun-2020$Intel Xeon Gold 6248R$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
